순위,제목,개봉일,관객수,누적관객수,누적매출액
1,승부,2025.03.26,"33,259","1,840,868","17,198,537,940원"
2,아마추어,2025.04.09,"5,890","80,275","755,309,330원"
3,극장판 진격의 거인 완결편 더 라스트 어택,2025.03.13,"5,315","714,827","7,164,568,500원"
4,로비,2025.04.02,"5,016","248,112","2,352,978,840원"
5,드라이브 인 타이페이,2025.04.11,"1,310","14,145","127,545,500원"
6,베러맨,2025.04.09,"1,221","23,975","188,649,500원"
7,콘클라베,2025.03.05,"1,044","267,971","2,548,408,560원"
8,하보우만의 약속,2025.04.16,"1,017","2,422","22,004,000원"
9,라스트 마일,2025.03.26,813,"49,142","408,124,120원"
10,본회퍼: 목사.스파이.암살자,2025.04.09,804,"5,342","53,489,900원"
11,기동전사 건담 지쿠악스 비기닝,2025.04.02,748,"30,637","312,807,750원"
12,미키 17,2025.02.28,734,"3,010,614","29,678,236,300원"
13,헤레틱,2025.04.02,644,"35,671","288,294,700원"
14,백설공주와 일곱난쟁이,2025.04.10,418,"15,420","134,362,220원"
15,A MINECRAFT MOVIE 마인크래프트 무비,2025.04.30,268,268,"4,020,000원"
16,파란,2025.04.09,225,"4,483","48,760,900원"
17,출동! 왕엉덩이 히어로: 털복숭이 꼬리도적단 소탕작전,2025.04.12,223,"8,134","65,912,800원"
18,부전시장,2025.03.27,207,"4,040","37,228,800원"
19,"초혼, 다시 부르는 노래",2025.03.19,205,"20,718","187,159,700원"
20,고독한 미식가 더 무비,2025.03.19,134,"92,278","853,791,800원"
